file	persons	scores
f_001.jpg	0	-
f_002.jpg	0	-
f_003.jpg	0	-
f_004.jpg	0	-
f_005.jpg	0	-
f_006.jpg	0	-
f_007.jpg	0	-
f_008.jpg	0	-
f_009.jpg	0	-
f_010.jpg	0	-
f_011.jpg	0	-
f_012.jpg	0	-
f_013.jpg	0	-
f_014.jpg	1	0.373
f_015.jpg	1	0.334
f_016.jpg	1	0.379
f_017.jpg	1	0.482
f_018.jpg	1	0.506
f_019.jpg	0	-
f_020.jpg	0	-
f_021.jpg	0	-
f_022.jpg	0	-
f_023.jpg	0	-
f_024.jpg	0	-
f_025.jpg	0	-
f_026.jpg	1	0.506
f_027.jpg	1	0.548
f_028.jpg	0	-
f_029.jpg	1	0.689
f_030.jpg	1	0.572
f_031.jpg	1	0.522
f_032.jpg	1	0.423
f_033.jpg	1	0.537
f_034.jpg	1	0.400
f_035.jpg	1	0.422
f_036.jpg	0	-
f_037.jpg	0	-
f_038.jpg	0	-
f_039.jpg	0	-
f_040.jpg	1	0.525

frames answered   40/40
with a detection  15/40 (38%)
detScore range    0.334 – 0.689
