file	persons	scores
f_001.jpg	1	0.335
f_002.jpg	1	0.341
f_003.jpg	0	-
f_004.jpg	0	-
f_005.jpg	1	0.516
f_006.jpg	1	0.524
f_007.jpg	1	0.454
f_008.jpg	1	0.460
f_009.jpg	0	-
f_010.jpg	0	-
f_011.jpg	0	-
f_012.jpg	0	-
f_013.jpg	0	-
f_014.jpg	0	-
f_015.jpg	1	0.299
f_016.jpg	1	0.326
f_017.jpg	0	-
f_018.jpg	1	0.282
f_019.jpg	0	-
f_020.jpg	0	-
f_021.jpg	2	0.505,0.446
f_022.jpg	1	0.337
f_023.jpg	0	-
f_024.jpg	0	-
f_025.jpg	1	0.274
f_026.jpg	1	0.627
f_027.jpg	1	0.546
f_028.jpg	1	0.417
f_029.jpg	1	0.482
f_030.jpg	1	0.398
f_031.jpg	1	0.375
f_032.jpg	1	0.307
f_033.jpg	1	0.320
f_034.jpg	0	-
f_035.jpg	1	0.255
f_036.jpg	1	0.271
f_037.jpg	0	-
f_038.jpg	0	-
f_039.jpg	1	0.355
f_040.jpg	1	0.367

frames answered   40/40
with a detection  24/40 (60%)
detScore range    0.255 – 0.627
